play_name,character_name,character_role,gender,description,,,,,,
The Merchant of Venice,Gratiano, ,M,"Gratiano is a Venetian man who is friends with Bassanio and Antonio. He is renowned for his wild and boisterous behaviour and heavily insults Shylock at the start of the play. Gratiano accompanies Bassanio to Belmont and falls in love with Nerissa, Portia’s waiting woman.",,,,,,
The Merchant of Venice,Lorenzo, ,M,"Lorenzo is a Venetian and a Christian, who is friends with Bassiano, Gratiano and Antonio. Lorenzo is in love with Jessica, Shylock’s daughter and helps her to escape from her father’s house so that they can run away and marry.",,,,,,
The Merchant of Venice,Shylock,a Jewish moneylender in Venice,M,"Shylock is a moneylender who lives in Venice. He is Jewish and receives a great deal of abuse for his religion. Shylock lends money to Antonio on the condition that if Antonio cannot pay him back by the appointed time then Shylock will cut away a pound of Antonio’s flesh. As the play progresses, Shylock becomes completely fixated on his ‘bond’ with Antonio and desperate to claim revenge on the merchant, who has treated him badly in the past.",,,,,,
The Merchant of Venice,Tubal,another Jewish moneylender,M,"Tubal is a wealthy Jewish friend of Shylock’s. Shylock doesn’t have enough money himself to lend to Antonio, so he borrows the funds from Tubal. When Jessica, Shylock’s daughter, goes missing, Tubal goes in search of her in order to help his friend.",,,,,,
The Merchant of Venice,Lancelet Gobbo,"clown, servant to Shylock",M,"Lancelet is the ‘clown’ of the play and much of the comedy derives from him playing tricks on his father and making silly jokes. He works for Shylock, but passionately dislikes his master and so asks Bassanio if he can work for him instead. When Bassanio agrees, Lancelet accompanies Bassanio to Belmont.",,,,,,
The Merchant of Venice,Old Gobbo,blind Lancelet's father,M, ,,,,,,
The Merchant of Venice,Leonardo,servant to Bassanio,M, ,,,,,,
The Merchant of Venice,Balthasar,servant to Portia,M, ,,,,,,
The Merchant of Venice,Stephano,servant to Portia,M, ,,,,,,
The Merchant of Venice,Portia,rich heiress,W,"Portia is a wealthy heiress who lives in Belmont. Her father has died and in his will wrote that anyone wanting to marry his daughter must succeed in a specially designed challenge. Suitors have to choose between three caskets (either gold, silver or lead), guessing which one holds Portia’s portrait. Portia is not at all keen on most of the men who have tried to win her, however she does fall in love with Bassanio. Ultimately she plays an essential role in ensuring that Antonio’s life is saved, as she prevents Shylock from claiming his ‘pound of flesh’.",,,,,,
The Merchant of Venice,Nerissa,Portia's waiting maid,W,"Nerissa is Portia’s waiting woman and friend. They have a close relationship and Nerissa both teases and advises her boss. She also assists Portia in helping to get Antonio freed and goes with Portia to Venice, dressed as a lawyer’s clerk. Nerissa falls in love with Bassanio’s friend Gratiano, who asks for her hand in marriage after Bassanio ‘wins’ Portia.",,,,,,
The Merchant of Venice,Jessica,Shylock's daughter ,W,"Jessica is Shylock’s daughter and at the start of the play is living in his house. She is in love with a Christian, Lorenzo. Jessica knows that her father will never give his consent for her to marry a Christian and so she plans to secretly escape one night in order to run away with Lorenzo, marry him and convert from Judaism to Christianity.",,,,,,
A Midsummer Night's Dream,Theseus,Duke of Athens,M,"Theseus is the Duke of Athens. At the start of the play we find him talking to Hippolyta, his fiancée, about their upcoming marriage. He is soon interrupted by Egeus and has to make a judgement about Hermia’s behaviour. At the end of the play he overrules Egeus and allows the lovers to get married at the same time as him and Hippolyta.",,,,,,
A Midsummer Night's Dream,Egeus,a courtier in Athens,M,"Egeus is a courtier in Athens. His daughter Hermia is in love with Lysander, a gentleman of the court, but he wants her to marry Demetrius. He asks the Duke’s permission for his daughter to either marry Demetrius or be put to her death – as is decreed in an old law. By the end of the play he still wants Hermia to marry Demetrius but he is overruled by Duke Theseus.",,,,,,
A Midsummer Night's Dream,Lysander,young gentleman ,M,"Lysander is a young gentleman in the court. He is in love with Hermia and she with him. Unfortunately, Hermia’s father, Egeus, wants her to marry Demetrius. Lysander and Hermia decide to run away together but they are followed by Demetrius and Helena. Whilst there, Lysander has a magic spell put on him which makes him accidently fall in love with Helena. The spell is eventually lifted and by the end of the play he and Hermia have married each other.",,,,,,
A Midsummer Night's Dream,Demeterius,young gentleman ,M,"Demetrius is a young gentleman in the court, who used to be in a relationship with Helena. He is now in love with Hermia and has her father’s blessing to marry her. He follows Hermia into the forest when he learns from Helena that she has run away with Lysander. While in the forest he has a magic spell put on him that makes him fall in love with Helena. At the end of the play he recognises that he has loved Helena all along and they get married.",,,,,,
A Midsummer Night's Dream,Philostrate,master of the revels,M,"Theseus’s Master of the Revels, responsible for organizing the entertainment for the duke’s marriage celebration.",,,,,,
A Midsummer Night's Dream,Peter Quince,a carpenter,M,"A carpenter and the nominal leader of the craftsmen’s attempt to put on a play for Theseus’s marriage celebration. Quince is often shoved aside by the abundantly confident Bottom. During the craftsmen’s play, Quince plays the Prologue.",,,,,,
A Midsummer Night's Dream,Snug,a joiner,M,The joiner chosen to play the lion in the craftsmen’s play for Theseus’s marriage celebration. Snug worries that his roaring will frighten the ladies in the audience.,,,,,,
A Midsummer Night's Dream,Nick Bottom,a weaver,M,"Nick Bottom is a weaver in Athens who has ambitions to be an actor. At the start of the play we see Bottom trying to convince Peter Quince that he should play all the characters in the play to celebrate the Duke’s wedding. During one of the mechanical’s rehearsals he is magically transformed into an ass, and in this state Titania, Queen of the Fairies, falls in love with him. By the end of the play he is turned back into a human and able to perform the part of Pyramus in the play.",,,,,,
A Midsummer Night's Dream,Francis Flute,a bellow-mender,M,"The bellows-mender chosen to play Thisbe in the craftsmen’s play for Theseus’s marriage celebration. Forced to play a young girl in love, the bearded craftsman determines to speak his lines in a high, squeaky voice.",,,,,,
A Midsummer Night's Dream,Tom Snout,a tinker,M,"The tinker chosen to play Pyramus’s father in the craftsmen’s play for Theseus’s marriage celebration. He ends up playing the part of Wall, dividing the two lovers.",,,,,,
A Midsummer Night's Dream,Robin Starveling,a tailor,M,The tailor chosen to play Thisbe’s mother in the craftsmen’s play for Theseus’s marriage celebration. He ends up playing the part of Moonshine.,,,,,,
A Midsummer Night's Dream,Hippolyta,queen of the Amazons,W,"The legendary queen of the Amazons, engaged to Theseus. Like Theseus, she symbolizes order.",,,,,,
A Midsummer Night's Dream,Hermia,Egeus' daughter ,W,"Hermia is a young woman in Athens and Egeus’ daughter. She is in love with Lysander but unfortunately Egeus wants her to marry Demetrius. Egeus invokes an ancient law that states he can choose his daughter’s husband or she will be put to death. The Duke Theseus upholds the law and condemns Hermia to death. She and Lysander decide to elope to escape the judgement. In the woods they are chased by Demetrius and Helena, Hermia’s best friend. Whilst there Lysander and Demetrius fall under a magic spell that makes them both fall in love with Helena. A huge argument ensues before more magic is used to work out all the problems. At the end of the play Theseus overrules Egeus, with Hermia and Lysander marrying.",,,,,,
A Midsummer Night's Dream,Helena,young woman in Athens,W,"Helena is a young woman in Athens. She is in love with Demetrius but he is not in love with her. Instead, he loves her best friend Hermia. As a way of convincing Demetrius to love her, Helena tells him about Hermia’s plan to run away with Lysander and together they go into the forest to find her. While there, Lysander and Demetrius fall under a magic spell that makes them both fall in love with Helena. She is confused, enraged and upset by this turn of events, eventually falling out with Hermia. By the end of the play, Demetrius falls in love with her and they get married.",,,,,,
A Midsummer Night's Dream,Oberon,king of the fairies,M,"Oberon is the King of the Fairies. At the start of the play we find him arguing with Titania, the Queen of the Fairies because she refuses to give him a changeling boy that he wants for himself. As revenge for refusing him, he decides to play a trick on her. He asks his servant, Puck, to find a magic flower which, when the juice of it is put in someone’s eyes when they are asleep, makes them fall in love with the first living thing they see when they awake. While he’s waiting he overhears Demetrius and Helena arguing and decides to help her by using the juice on Demetrius. He puts some juice in Titania’s eye and she falls in love with Bottom while he has an ass’ head. By the end of the play Oberon has undone all the magic and made peace with Titania. Finally, he and Titania bless the marriages of the Theseus and Hippolyta and the other lovers.",,,,,,
A Midsummer Night's Dream,Tatiana,queen of the fairies,W,"Titania is the Queen of the Fairies. At the start of the play we find her having an argument with Oberon. She refuses to give him a changeling boy that she has promised to look after. She leaves Oberon’s company with her fairies. She tells them to sing her a lullaby to help her sleep. While she is asleep, Oberon puts a magic love potion from a flower in her eyes. When she wakes up, she sees Bottom with an ass’ head and immediately falls in love with him. She showers him with gifts and makes her fairies tend on him. While in this state, Oberon convinces her to give him the changeling boy. At the end of the play the magic is reversed and she is repulsed by Bottom’s appearance. Finally, she and Oberon bless the marriages of Theseus and Hippolyta, and the other lovers.",,,,,,
A Midsummer Night's Dream,Robin Goodfellow,a puck,M,"Puck is Oberon’s servant. At the start of the play we find him showing off to another fairy about the mischievous tricks he’s played on humans. Oberon asks him to find a magic flower, the juice of which is used on the eyes of a sleeping person to make them fall in love with the first living thing they see when they wake up. Oberon then asks him to put some of the juice in Demetrius’ eyes but he puts it in Lysander’s by mistake which causes all kinds of problems. He then transforms Bottom’s head into an ass's head. Using magic he overcasts the night and fixes all the issues. At the end of the play he talks directly to the audience in the epilogue.",,,,,,
A Midsummer Night's Dream,PeaseBlossom,fairy,,A fairy ordered by Titania to attend to Bottom after she falls in love with him.,,,,,,
A Midsummer Night's Dream,Cobweb,fairy,,A fairy ordered by Titania to attend to Bottom after she falls in love with him.,,,,,,
A Midsummer Night's Dream,Moth,fairy,,A fairy ordered by Titania to attend to Bottom after she falls in love with him.,,,,,,
A Midsummer Night's Dream,Mustardseed,fairy,,A fairy ordered by Titania to attend to Bottom after she falls in love with him.,,,,,,
Hamlet,Hamlet,"son of the late King and Gertrude, nephew of Claudius",M,"The Prince of Denmark, the title character, and the protagonist. About thirty years old at the start of the play, Hamlet is the son of Queen Gertrude and the late King Hamlet, and the nephew of the present king, Claudius. Hamlet is melancholy, bitter, and cynical, full of hatred for his uncle’s scheming and disgust for his mother’s sexuality. A reflective and thoughtful young man who has studied at the University of Wittenberg, Hamlet is often indecisive and hesitant, but at other times prone to rash and impulsive acts.",,,,,,
Hamlet,Claudius,king of Danmark,M,"The King of Denmark, Hamlet’s uncle, and the play’s antagonist. The villain of the play, Claudius is a calculating, ambitious politician, driven by his sexual appetites and his lust for power, but he occasionally shows signs of guilt and human feeling—his love for Gertrude, for instance, seems sincere.",,,,,,
Hamlet,Gertrude,"queen of Danmark, mother of Hamlet",W,"The Queen of Denmark, Hamlet’s mother, recently married to Claudius. Gertrude loves Hamlet deeply, but she is a shallow, weak woman who seeks affection and status more urgently than moral rectitude or truth.",,,,,,
Hamlet,Polonius,lord Chamberlain,M,"The Lord Chamberlain of Claudius’s court, a pompous, conniving old man. Polonius is the father of Laertes and Ophelia.",,,,,,
Hamlet,Laertes,son of Polonius,M,"Polonius’s son and Ophelia’s brother, a young man who spends much of the play in France. Passionate and quick to action, Laertes is clearly a foil for the reflective Hamlet.",,,,,,
Hamlet,Ophelia,daughter of Polonius,W,"Polonius’s daughter, a beautiful young woman with whom Hamlet has been in love. Ophelia is a sweet and innocent young girl, who obeys her father and her brother, Laertes. Dependent on men to tell her how to behave, she gives in to Polonius’s schemes to spy on Hamlet. Even in her lapse into madness and death, she remains maidenly, singing songs about flowers and finally drowning in the river amid the flower garlands she had gathered.",,,,,,
Hamlet,Horatio,friend of Hamlet,M,"Hamlet’s close friend, who studied with the prince at the university in Wittenberg. Horatio is loyal and helpful to Hamlet throughout the play. After Hamlet’s death, Horatio remains alive to tell Hamlet’s story.",,,,,,
Hamlet,Fortinbras,prince of Norway,M,"The young Prince of Norway, whose father the king (also named Fortinbras) was killed by Hamlet’s father (also named Hamlet). Now Fortinbras wishes to attack Denmark to avenge his father’s honor, making him another foil for Prince Hamlet.",,,,,,
Hamlet,Voltimand,a courtier,M,A courtier whom Claudius sends to Norway to persuade the king to prevent Fortinbras from attacking.,,,,,,
Hamlet,Cornelius,a courtier,M,A courtier whom Claudius sends to Norway to persuade the king to prevent Fortinbras from attacking.,,,,,,
Hamlet,Rosencrantz,a courtier,M,"A slightly bumbling courtier, former friend of Hamlet from Wittenberg, who is summoned by Claudius and Gertrude to discover the cause of Hamlet’s strange behavior.",,,,,,
Hamlet,Guildenstern,a courtier,M,"A slightly bumbling courtier, former friend of Hamlet from Wittenberg, who is summoned by Claudius and Gertrude to discover the cause of Hamlet’s strange behavior.",,,,,,
Hamlet,Osric,a courtier,M,The foolish courtier who summons Hamlet to his duel with Laertes.,,,,,,
Hamlet,Marcellus,an officer,M,The officer who first see the ghost walking the ramparts of Elsinore and who summon Horatio to witness it. Marcellus is present when Hamlet first encounters the ghost.,,,,,,
Hamlet,Bernardo,an officer,M,The officers who first see the ghost walking the ramparts of Elsinore and who summon Horatio to witness it.,,,,,,
Hamlet,Francisco,a solder,M,A soldier and guardsman at Elsinore.,,,,,,
Hamlet,Reynaldo,servant of Polonius,M,"Polonius’s servant, who is sent to France by Polonius to check up on and spy on Laertes.",,,,,,
Hamlet,the Ghost, ,,"The specter of Hamlet’s recently deceased father. The ghost, who claims to have been murdered by Claudius, calls upon Hamlet to avenge him. However, it is not entirely certain whether the ghost is what it appears to be, or whether it is something else. Hamlet speculates that the ghost might be a devil sent to deceive him and tempt him into murder, and the question of what the ghost is or where it comes from is never definitively resolved.",,,,,,
Macbeth,Macbeth,"general of the king's army, afterwards king of scotland",M,"Macbeth is a Scottish general and the thane of Glamis who is led to wicked thoughts by the prophecies of the three witches, especially after their prophecy that he will be made thane of Cawdor comes true. Macbeth is a brave soldier and a powerful man, but he is not a virtuous one. He is easily tempted into murder to fulfill his ambitions to the throne, and once he commits his first crime and is crowned King of Scotland, he embarks on further atrocities with increasing ease. Ultimately, Macbeth proves himself better suited to the battlefield than to political intrigue, because he lacks the skills necessary to rule without being a tyrant. His response to every problem is violence and murder. Unlike Shakespeare’s great villains, such as Iago in Othello, Macbeth is never comfortable in his role as a criminal. He is unable to bear the psychological consequences of his atrocities.",,,,,,
Macbeth,Lady Macbeth,Macbeth's wife,W,"Macbeth’s wife, a deeply ambitious woman who lusts for power and position. Early in the play, she seems to be the stronger and more ruthless of the two, as she urges her husband to kill Duncan and seize the crown. After the bloodshed begins, however, Lady Macbeth falls victim to guilt and madness to an even greater degree than her husband. Her conscience affects her to such an extent that she eventually commits suicide. Interestingly, she and Macbeth are presented as being deeply in love, and many of Lady Macbeth’s speeches imply that her influence over her husband is primarily sexual. Their joint alienation from the world, occasioned by their partnership in crime, seems to strengthen the attachment that they feel to each another.",,,,,,
Macbeth,Banquo,general of the king's army,M,"The brave, noble general whose children, according to the witches’ prophecy, will inherit the Scottish throne. Like Macbeth, Banquo thinks ambitious thoughts, but he does not translate those thoughts into action. In a sense, Banquo’s character stands as a rebuke to Macbeth, since he represents the path Macbeth chose not to take: a path in which ambition need not lead to betrayal and murder. Appropriately, then, it is Banquo’s ghost—and not Duncan’s—that haunts Macbeth. In addition to embodying Macbeth’s guilt for killing Banquo, the ghost also reminds Macbeth that he did not emulate Banquo’s reaction to the witches’ prophecy.",,,,,,
Macbeth,king Duncan,king of Scotland,M,"The good King of Scotland whom Macbeth, in his ambition for the crown, murders. Duncan is the model of a virtuous, benevolent, and farsighted ruler. His death symbolizes the destruction of an order in Scotland that can be restored only when Duncan’s line, in the person of Malcolm, once more occupies the throne.",,,,,,
Macbeth,Malcom,son of king Duncan,M,"The son of Duncan, whose restoration to the throne signals Scotland’s return to order following Macbeth’s reign of terror. Malcolm becomes a serious challenge to Macbeth with Macduff’s aid (and the support of England). Prior to this, he appears weak and uncertain of his own power, as when he and Donalbain flee Scotland after their father’s murder.",,,,,,
Macbeth,Donalbain,"king Duncan’s son, Malcolm’s younger brother.",M, ,,,,,,
Macbeth,Fleance,son of Banquo,M,"Banquo’s son, who survives Macbeth’s attempt to murder him. At the end of the play, Fleance’s whereabouts are unknown. Presumably, he may come to rule Scotland, fulfilling the witches’ prophecy that Banquo’s sons will sit on the Scottish throne.",,,,,,
Macbeth,Macduff,nobleman on Scotland,M,"A Scottish nobleman hostile to Macbeth’s kingship from the start. He eventually becomes a leader of the crusade to unseat Macbeth. The crusade’s mission is to place the rightful king, Malcolm, on the throne, but Macduff also desires vengeance for Macbeth’s murder of Macduff’s wife and young son.",,,,,,
Macbeth,Lennox,nobleman on Scotland,M, ,,,,,,
Macbeth,Ross,nobleman on Scotland,M, ,,,,,,
Macbeth,Menteith,nobleman on Scotland,M, ,,,,,,
Macbeth,Angus,nobleman on Scotland,M, ,,,,,,
Macbeth,Caithness,nobleman on Scotland,M, ,,,,,,
Macbeth,Lady Macduff,Macduff's wife,W,Macduff’s wife. The scene in her castle provides our only glimpse of a domestic realm other than that of Macbeth and Lady Macbeth. She and her home serve as contrasts to Lady Macbeth and the hellish world of Inverness.,,,,,,
Macbeth,Three witches,servants of Hecate,,"Three “black and midnight hags” who plot mischief against Macbeth using charms, spells, and prophecies. Their predictions prompt him to murder Duncan, to order the deaths of Banquo and his son, and to blindly believe in his own immortality. The play leaves the witches’ true identity unclear—aside from the fact that they are servants of Hecate, we know little about their place in the cosmos. In some ways, they resemble the mythological Fates, who impersonally weave the threads of human destiny. They clearly take a perverse delight in using their knowledge of the future to toy with and destroy human beings.",,,,,,
Macbeth,Hecate,the goddess of witchcraft,,"The goddess of witchcraft, who helps the three witches work their mischief on Macbeth.",,,,,,
Macbeth,Siward,"earl of Northumberland, General of the English Forces",M, ,,,,,,
Macbeth,Young Siward,Siward's son,M, ,,,,,,
Macbeth,Seyton,an officer,M, ,,,,,,
Macbeth,Boy,son of Macduff,M, ,,,,,,
Romeo and Juliet,Romeo,son of Montague,M,"Romeo is the only child of Lord and Lady Montague. When we first meet him, he believes he is in love with Rosaline, but then he meets Juliet at a party. They instantly fall in love and are married in secret the next day. The pair are separated after Romeo kills Tybalt and is banished. A plan to reunite them goes wrong when Romeo believes Juliet is dead. At the end of the play, Romeo kills himself.",,,,,,
Romeo and Juliet,Juliet,daughter of Capulet,W,"Juliet is the only child of Lord and Lady Capulet. She has been promised in marriage to Paris. At a party, she meets Romeo and instantly falls in love with him, even though he is her ‘enemy’ and a Montague. Juliet marries Romeo in secret the next day but they are separated after Romeo kills her cousin Tybalt. In order to avoid marrying Paris, Juliet fakes her own death. Romeo believes her to be dead and kills himself. When she wakes up, and discovers his body, Juliet stabs herself with his dagger.",,,,,,
Romeo and Juliet,Escalus,prince of Verona,M,"The Prince of Verona. A kinsman of Mercutio and Paris. As the seat of political power in Verona, he is concerned about maintaining the public peace at all costs.",,,,,,
Romeo and Juliet,Paris,"a young nobleman, kinsman of the prince",M,"Paris is a family member of the Prince and a nobleman. We first meet him when he asks Lord Capulet for permission to marry Juliet and then after Tybalt’s death, when he asks for permission to marry Juliet again. Despite not wanting to let him marry Juliet at first, Lord Capulet eventually agrees and sets a date for their marriage. When Juliet is believed to be dead, Paris visits her tomb to mourn but is interrupted by Romeo. They fight and Paris is killed.",,,,,,
Romeo and Juliet,Lady Capulet,wife of Capulet,W,"Lady Capulet is the wife of Lord Capulet. At the start of the play she tells her daughter Juliet about the proposal of marriage from Paris and is excited for her. She seeks justice for Tybalt’s murder and later tries to calm Lord Capulet down when Juliet refuses to marry Paris, although she walks away from Juliet herself at the end of the scene. At the end of the play she finds her daughter’s body.",,,,,,
Romeo and Juliet,Lord Capulet,head of a noble family,M,"Lord Capulet is the head of one of the noble families of Verona, the Capulets. He talks to Paris, who wants to marry his daughter Juliet, and suggests that Paris join them at a ball he is holding so that he and Juliet can meet. At the ball he stops Tybalt from fighting with Romeo, to keep the peace. Lord Capulet later decides that Juliet should marry Paris as soon as possible to help her get over the grief of Tybalt’s death. When she refuses he threatens to disown her. At the end of the play he makes peace with the Montague family.",,,,,,
Romeo and Juliet,Lord Montague,head of a noble family,M,"Lord Montague is the head of one of the noble families of Verona, the Montague. He is Romeo’s father. Lord Montague is enemiy with the Capulets but he reconciles with Lord and Lady Capulet after his son’s death, promising to build a statue in pure gold to honour Juliet.",,,,,,
Romeo and Juliet,Lady Montague,wife of Montague,W,Lady Montague is the wife of Lord Montague and Romeo’s mother. She has to restrain her husband from fighting with the Capulets in the opening scene of the play and is grateful to find her son Romeo was not involved in the ‘fray’. She and her husband are both concerned about their son’s behaviour and how withdrawn he has been. Lady Montague later dies of ‘grief’ when Romeo is banished.,,,,,,
Romeo and Juliet,Mercutio,nobleman on Verona,M,"Mercutio is a family member of the prince and best friend of Romeo. We first meet him with Romeo and Benvolio just before the ball where he gives the famous ‘Queen Mab’ speech. Later, he challenges Tybalt to a fight which ends in his death and, as he dies, he calls down a ‘plague’ on both houses.",,,,,,
Romeo and Juliet,Benvolio,"nephew of Montague, friend of Romeo",M,Benvolio is Romeo’s cousin. At the start of the play he tries to stop the street brawl between the two households but is quickly drawn into it by Tybalt. He discovers that Romeo is upset because Rosaline doesn’t love him and tries to cheer Romeo up by convincing him to go to a party where he might meet other women who will take his mind off Rosaline. The next day he is present when Tybalt kills Mercutio and Romeo then kills Tybalt.,,,,,,
Romeo and Juliet,Tybalt,"nephew of Lady Capulet, ""Prince of Cats""",M,"Tybalt is the nephew of Lady Capulet. At the start of the play he is involved in a street brawl with the Montagues. Later, he is offended by Romeo’s presence at the Capulets’ ball but is calmed by Lord Capulet who does not want Tybalt to start an argument. The next day he searches for Romeo to get revenge for the insult but gets into a fight with Mercutio. He kills Mercutio in the fight. He is then killed by Romeo.",,,,,,
Romeo and Juliet,Friar Laurence,a franciscan,M,"Friar Laurence is a Franciscan monk. We first meet him the morning after the party when Romeo goes to him for permission to marry Juliet. Despite telling Romeo to slow down, he agrees to marry the young couple, as he believes it may be a way to end the feud between the Montagues and the Capulets. Later in the play, when Romeo is banished for killing Tybalt, Friar Laurence sends him to Mantua. He also gives Juliet the potion that will make her appear dead.",,,,,,
Romeo and Juliet,Friar John,a franciscan,M,"A Franciscan friar charged by Friar Lawrence with taking the news of Juliet’s false death to Romeo in Mantua. Friar John is held up in a quarantined house, and the message never reaches Romeo.",,,,,,https://www.sparknotes.com/shakespeare/romeojuliet/characters/
Romeo and Juliet,Balthasar,servant of Romeo,M,"Romeo’s dedicated servant, who brings Romeo the news of Juliet’s death, unaware that her death is a ruse.",,,,,,
Romeo and Juliet,Sampson,servant of Capulet,M,"A servant of the house of Capulet, who, like his master, hates the Montagues. At the outset of the play, with Gregory they successfully provoke some Montague men into a fight.",,,,,,
Romeo and Juliet,Gregory,servant of Capulet,M,"A servants of the house of Capulet, who, like his master, hates the Montagues. At the outset of the play, with Sampson they successfully provoke some Montague men into a fight.",,,,,,
Romeo and Juliet,Peter,servant of Capulet,M,"A Capulet servant who invites guests to Capulet’s feast and escorts the Nurse to meet with Romeo. He is illiterate, and a bad singer.",,,,,,
Romeo and Juliet,Abram,servant of Montague,M,"Montague’s servant, who fights with Sampson and Gregory in the first scene of the play.",,,,,,
Romeo and Juliet,the Nurse ,nurse of Juliet,W,"Juliet’s nurse, the woman who breast-fed Juliet when she was a baby and has cared for Juliet her entire life. A vulgar, long-winded, and sentimental character, the Nurse provides comic relief with her frequently inappropriate remarks and speeches. But, until a disagreement near the play’s end, the Nurse is Juliet’s faithful confidante and loyal intermediary in Juliet’s affair with Romeo. She provides a contrast with Juliet, given that her view of love is earthy and sexual, whereas Juliet is idealistic and intense. The Nurse believes in love and wants Juliet to have a nice-looking husband, but the idea that Juliet would want to sacrifice herself for love is incomprehensible to her.",,,,,,
